era,rank,token,tfidf_score
1970s,98,face,0.004382141761350675
1970s,99,rock,0.004373384214765909
1970s,100,sky,0.004332446969585515
1980s,1,love,0.030102372423125124
1980s,2,oh,0.019914748409975012
1980s,3,don,0.019733317735222355
1980s,4,ll,0.0175529238614266
1980s,5,know,0.016825970302658633
1980s,6,just,0.016306768476277936
1980s,7,ve,0.01578847257608676
1980s,8,time,0.014574561333167015
1980s,9,baby,0.01360004296554514
1980s,10,got,0.013518585296999739
1980s,11,like,0.013371756338879548
1980s,12,night,0.012488084097571567
1980s,13,come,0.01228847376295083
1980s,14,say,0.01199092059520527
1980s,15,heart,0.011729918454576339
1980s,16,way,0.011616534235905161
1980s,17,away,0.01161585963440221
1980s,18,want,0.011122309063138956
1980s,19,let,0.010999467210970934
1980s,20,gonna,0.010852807393576434
1980s,21,life,0.010238251157070444
1980s,22,man,0.009575782254569057
1980s,23,world,0.009561288047145629
1980s,24,day,0.009540289237655805
1980s,25,yeah,0.009427580731794113
1980s,26,make,0.009340876803181191
1980s,27,right,0.00882999260833915
1980s,28,feel,0.008720213178034692
1980s,29,tell,0.008532928318247524
1980s,30,eyes,0.008493300050299033
1980s,31,need,0.008155804507852244
1980s,32,girl,0.00793848531218122
1980s,33,little,0.007916449785509183
1980s,34,said,0.007881014650501996
1980s,35,cause,0.007827110474296668
1980s,36,long,0.00776193182829086
1980s,37,ve got,0.007592487960301795
1980s,38,good,0.007504140300495771
1980s,39,won,0.007415628571529
1980s,40,think,0.007093441213033625
1980s,41,look,0.007063147121882759
1980s,42,tonight,0.0070085767729511205
1980s,43,hey,0.006687719082818384
1980s,44,mind,0.006658375394660136
1980s,45,ooh,0.006582461226626394
1980s,46,home,0.006571306827573337
1980s,47,hear,0.0065427474157975915
1980s,48,things,0.0062701673684831555
1980s,49,oh oh,0.006156645932522177
1980s,50,people,0.006120712718973199
1980s,51,hold,0.00598217187952841
1980s,52,wanna,0.005856229838141456
1980s,53,light,0.005693450565465149
1980s,54,old,0.005668813815503046
1980s,55,dream,0.005575007690511027
1980s,56,live,0.005543562379843371
1980s,57,rock,0.005540901487758318
1980s,58,turn,0.005515551209437518
1980s,59,gone,0.005501535239069733
1980s,60,believe,0.005454360440331757
1980s,61,going,0.00527229417115074
1980s,62,face,0.005229787143263393
1980s,63,place,0.005206838903171131
1980s,64,love love,0.005182626347422286
1980s,65,yes,0.005074643141655281
1980s,66,really,0.005054113614074698
1980s,67,run,0.0050503854646273124
1980s,68,don know,0.005044084628823652
1980s,69,inside,0.005038226295839496
1980s,70,true,0.0050331158691770215
1980s,71,new,0.0050060809684418246
1980s,72,try,0.004994418545938749
1980s,73,ain,0.004895716178809412
1980s,74,hand,0.004893553746054313
1980s,75,better,0.004822383406040957
1980s,76,hard,0.004798920667336396
1980s,77,thing,0.0047957214990998875
1980s,78,dance,0.004695361913418208
1980s,79,stand,0.004680138485445874
1980s,80,stop,0.004654875583230114
